antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'one'}),frozenset({'could'}),0.2901706886403767,0.11143810084363351,0.04237786933490288,0.1460446247464503,1.310544810444819,0.010041798872330004,1.0405249792971227,0.33382470364228245
frozenset({'time'}),frozenset({'expect'}),0.1948204826368452,0.04610555228565823,0.011771630370806356,0.060422960725075525,1.310535450279617,0.002789324422276118,1.015238142101116,0.2942860623781675
frozenset({'expect'}),frozenset({'time'}),0.04610555228565823,0.1948204826368452,0.011771630370806356,0.2553191489361702,1.3105354502796167,0.002789324422276118,1.0812410661733793,0.2484060057589469
frozenset({'like'}),frozenset({'well'}),0.24759662546596037,0.08769864626250735,0.028448106729448697,0.11489698890649763,1.3101341218264395,0.0067342178569189184,1.0307290138018943,0.31461763251359987
frozenset({'well'}),frozenset({'like'}),0.08769864626250735,0.24759662546596037,0.028448106729448697,0.3243847874720358,1.3101341218264393,0.0067342178569189184,1.1136566503864758,0.25947497219132376
frozenset({'way'}),frozenset({'charact'}),0.09103394153423583,0.08554051402785952,0.010202079654698843,0.11206896551724138,1.3101273331224297,0.0024149895018782,1.0298767026482358,0.2604227199521826
frozenset({'charact'}),frozenset({'way'}),0.08554051402785952,0.09103394153423583,0.010202079654698843,0.11926605504587158,1.3101273331224297,0.0024149895018782,1.0320552122163364,0.2588582839601935
frozenset({'one'}),frozenset({'review'}),0.2901706886403767,0.08671767706494016,0.0329605650382578,0.11359026369168355,1.3098859141097536,0.00779763696703031,1.0303162132882941,0.33328397694069334
frozenset({'review'}),frozenset({'one'}),0.08671767706494016,0.2901706886403767,0.0329605650382578,0.38009049773755654,1.3098859141097536,0.00779763696703031,1.1450531227042098,0.2590379008746355
frozenset({'see'}),frozenset({'good'}),0.08730625858348048,0.164802825191289,0.01883460859329017,0.21573033707865166,1.3090208667736756,0.004446290521851361,1.064936225758958,0.25865219260533096
frozenset({'good'}),frozenset({'see'}),0.164802825191289,0.08730625858348048,0.01883460859329017,0.11428571428571428,1.3090208667736756,0.004446290521851361,1.0304606757928447,0.28265210241954414
frozenset({'bought'}),frozenset({'think'}),0.09279968608985678,0.1033941534235825,0.012556405728860114,0.13530655391120508,1.308648017619378,0.0029614607476251675,1.0369060279477884,0.25997850886678203
frozenset({'think'}),frozenset({'bought'}),0.1033941534235825,0.09279968608985678,0.012556405728860114,0.12144212523719165,1.308648017619378,0.0029614607476251675,1.0326016531979385,0.2630504649890591
"frozenset({'one', 'say'})",frozenset({'book'}),0.036884441828526585,0.2927212085540514,0.014125956444967627,0.3829787234042553,1.3083395128629285,0.00332909805607972,1.146279420619296,0.2446979470813245
frozenset({'book'}),"frozenset({'one', 'say'})",0.2927212085540514,0.036884441828526585,0.014125956444967627,0.048257372654155486,1.3083395128629283,0.00332909805607972,1.0119495864731256,0.3332100477731545
frozenset({'need'}),frozenset({'work'}),0.07337649597802628,0.13694329998038063,0.013144987247400432,0.179144385026738,1.3081646568499763,0.003096567747172386,1.051411093834976,0.25422432617770774
frozenset({'work'}),frozenset({'need'}),0.13694329998038063,0.07337649597802628,0.013144987247400432,0.09598853868194841,1.3081646568499763,0.003096567747172386,1.0250130044490295,0.27294873665317426
frozenset({'would'}),"frozenset({'one', 'tri'})",0.22248381400824013,0.03708063566804003,0.01079066117323916,0.04850088183421517,1.30798409898939,0.0025408199239636293,1.0120023717816893,0.30284219943568935
"frozenset({'one', 'tri'})",frozenset({'would'}),0.03708063566804003,0.22248381400824013,0.01079066117323916,0.291005291005291,1.30798409898939,0.0025408199239636293,1.0966459638241985,0.24453211824849974
frozenset({'give'}),frozenset({'first'}),0.07357268981753973,0.1243868942515205,0.011967824210319796,0.16266666666666668,1.3077476340694008,0.002816345822185564,1.0457162887123561,0.25401503947341025
frozenset({'first'}),frozenset({'give'}),0.1243868942515205,0.07357268981753973,0.011967824210319796,0.09621451104100948,1.3077476340694008,0.002816345822185564,1.0250522070779753,0.26875622146391287
frozenset({'well'}),frozenset({'great'}),0.08769864626250735,0.0924072984108299,0.01059446733372572,0.12080536912751677,1.3073141538066944,0.0024904723583203912,1.0323000957006592,0.25767025089605733
frozenset({'great'}),frozenset({'well'}),0.0924072984108299,0.08769864626250735,0.01059446733372572,0.11464968152866242,1.3073141538066944,0.0024904723583203912,1.0304410973869522,0.2590070615362445
frozenset({'never'}),frozenset({'one'}),0.09103394153423583,0.2901706886403767,0.03453011575436531,0.3793103448275862,1.3071973141218436,0.008114734249728313,1.1436138905238373,0.25854050978160625
frozenset({'one'}),frozenset({'never'}),0.2901706886403767,0.09103394153423583,0.03453011575436531,0.11899932386747802,1.3071973141218436,0.008114734249728313,1.031742747867126,0.3310719131614654
frozenset({'get'}),frozenset({'anyth'}),0.21640180498332354,0.03884638022366098,0.0109868550127526,0.050770625566636446,1.306958982389626,0.00258042821528388,1.0125620273288463,0.2997263752772014
frozenset({'anyth'}),frozenset({'get'}),0.03884638022366098,0.21640180498332354,0.0109868550127526,0.2828282828282828,1.306958982389626,0.00258042821528388,1.0926228353049434,0.24435744904207843
frozenset({'review'}),frozenset({'get'}),0.08671767706494016,0.21640180498332354,0.02452422993917991,0.2828054298642534,1.3068533780762461,0.005758368098365902,1.0925880195500663,0.2570981740064447
frozenset({'get'}),frozenset({'review'}),0.21640180498332354,0.08671767706494016,0.02452422993917991,0.11332728921124206,1.3068533780762461,0.005758368098365902,1.0300106361936308,0.2996474712068102
"frozenset({'first', 'book'})",frozenset({'like'}),0.033352952717284674,0.24759662546596037,0.01079066117323916,0.32352941176470595,1.3066794071035708,0.0025325826311137414,1.1122484667024934,0.2427994169418972
frozenset({'like'}),"frozenset({'first', 'book'})",0.24759662546596037,0.033352952717284674,0.01079066117323916,0.043581616481774964,1.3066794071035706,0.0025325826311137414,1.0106947586336261,0.3119355221050137
"frozenset({'get', 'dont'})",frozenset({'make'}),0.052972336668628606,0.14459485972140476,0.010005885815185403,0.18888888888888888,1.30633197648123,0.0023463582254700235,1.0546090770558023,0.24761452125909392
frozenset({'make'}),"frozenset({'get', 'dont'})",0.14459485972140476,0.052972336668628606,0.010005885815185403,0.06919945725915874,1.30633197648123,0.0023463582254700235,1.0174335100221876,0.27413653534808397
frozenset({'mani'}),frozenset({'think'}),0.07553462821267412,0.1033941534235825,0.010202079654698843,0.13506493506493508,1.3063111461593435,0.0023922407164843514,1.0366163691649273,0.25364454094292804
frozenset({'think'}),frozenset({'mani'}),0.1033941534235825,0.07553462821267412,0.010202079654698843,0.09867172675521822,1.3063111461593435,0.0023922407164843514,1.0256700019619385,0.26152583740111096
"frozenset({'book', 'time'})",frozenset({'even'}),0.05826957033549147,0.14949970570924073,0.011379242691779479,0.19528619528619529,1.3062647472096292,0.002667959074819601,1.0568978552483494,0.24896551724137939
frozenset({'even'}),"frozenset({'book', 'time'})",0.14949970570924073,0.05826957033549147,0.011379242691779479,0.07611548556430446,1.306264747209629,0.002667959074819601,1.0193161752902777,0.2756711609593128
frozenset({'book'}),"frozenset({'review', 'like'})",0.2927212085540514,0.02668236217382774,0.010202079654698843,0.03485254691689008,1.306201703201388,0.00239158635209908,1.0084652191921175,0.3314413741598208
"frozenset({'review', 'like'})",frozenset({'book'}),0.02668236217382774,0.2927212085540514,0.010202079654698843,0.3823529411764706,1.3062017032013877,0.00239158635209908,1.1451180432934407,0.24084784395205686
"frozenset({'one', 'good'})",frozenset({'time'}),0.056307631940357074,0.1948204826368452,0.014322150284481068,0.25435540069686413,1.305588597534659,0.0033522702537228614,1.0798435583328292,0.24802779597300142
frozenset({'time'}),"frozenset({'one', 'good'})",0.1948204826368452,0.056307631940357074,0.014322150284481068,0.07351460221550857,1.305588597534659,0.0033522702537228614,1.0185723059600276,0.2906953456701113
frozenset({'better'}),"frozenset({'one', 'like'})",0.10672944869531097,0.08730625858348048,0.012164018049833235,0.11397058823529412,1.3054114342366159,0.0028458692035681025,1.0300941811837896,0.2619116782270463
"frozenset({'one', 'like'})",frozenset({'better'}),0.08730625858348048,0.10672944869531097,0.012164018049833235,0.1393258426966292,1.3054114342366159,0.0028458692035681025,1.0378730948579284,0.25633789143760577
frozenset({'end'}),frozenset({'first'}),0.07612320973121443,0.1243868942515205,0.012360211889346674,0.16237113402061856,1.3053717194055092,0.0028914822504237884,1.0453473385551078,0.2532098278541261
frozenset({'first'}),frozenset({'end'}),0.1243868942515205,0.07612320973121443,0.012360211889346674,0.09936908517350157,1.3053717194055092,0.0028914822504237884,1.0258106567958145,0.2671667217936544
frozenset({'qualiti'}),frozenset({'even'}),0.056307631940357074,0.14949970570924073,0.0109868550127526,0.1951219512195122,1.305166122527367,0.0025688806084849733,1.0566821838157918,0.24776507276507273
frozenset({'even'}),frozenset({'qualiti'}),0.14949970570924073,0.056307631940357074,0.0109868550127526,0.07349081364829396,1.305166122527367,0.0025688806084849733,1.018546153628113,0.2749134948096886
frozenset({'time'}),frozenset({'think'}),0.1948204826368452,0.1033941534235825,0.026289974494800864,0.13494461228600202,1.3051474171190744,0.0061466756229905,1.0364721835278028,0.2903737889499869
frozenset({'think'}),frozenset({'time'}),0.1033941534235825,0.1948204826368452,0.026289974494800864,0.25426944971537,1.3051474171190744,0.0061466756229905,1.0797190983470295,0.26076455795421144
"frozenset({'one', 'get'})",frozenset({'look'}),0.07612320973121443,0.12046301746125172,0.011967824210319796,0.15721649484536085,1.3051017495550556,0.0027977926672619856,1.0436096306575973,0.25303830474605665
frozenset({'look'}),"frozenset({'one', 'get'})",0.12046301746125172,0.07612320973121443,0.011967824210319796,0.0993485342019544,1.3051017495550556,0.0027977926672619856,1.0257872499548542,0.26579464132259223
"frozenset({'one', 'make'})",frozenset({'dont'}),0.04924465371787326,0.17402393564842064,0.011183048852266038,0.22709163346613545,1.3049448204925507,0.002613300402638104,1.068659753362095,0.24578780835704608
